"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"195","Mana",2017,"Maori Party",0.0062,0.00726734796400672,0.00299254780827517,0.0225793348923011
"196","Mana",2017,"National Party",0.4053,0.415240744380513,0.304786751286374,0.484853822999841
"197","Mana",2017,"New Zealand First Party",0.068,0.0461820924227118,0.0123940376769447,0.160399612284782
"198","Mana",2017,"United Future",0.0032,0.0036751521115549,5e-04,0.0649054681816357
"199","Mangere",2017,"ACT",0.0025,5e-04,5e-04,0.00220884100933964
"200","Mangere",2017,"Conservative Party",0.0307,0.00306283955507023,5e-04,0.0744262340154308
"201","Mangere",2017,"Green Party",0.0397,0.0438026046652534,0.0310273396449266,0.0687742666254141
"202","Mangere",2017,"Labour Party",0.6756,0.677763206522797,0.59456536108025,0.723027788807318
"203","Mangere",2017,"Mana",0.0119,0.00096380069585335,5e-04,0.0211181869953061
"204","Mangere",2017,"Maori Party",0.0045,0.005497522277675,0.00217201050600617,0.020002078319605
"205","Mangere",2017,"National Party",0.1566,0.167179272333252,0.107411328910769,0.237301963775781
"206","Mangere",2017,"New Zealand First Party",0.0735,0.0499174087216076,0.0133964966066976,0.145475094758412
"207","Mangere",2017,"United Future",0.001,0.00144932440582633,5e-04,0.0577790168398546
"208","Manukau East",2017,"ACT",0.0067,0.000892172336050524,5e-04,0.00591969390503025
"209","Manukau East",2017,"Conservative Party",0.0208,0.00207514862363065,5e-04,0.0690670532867482
"210","Manukau East",2017,"Green Party",0.0365,0.0403610098299159,0.0285263953914312,0.0647599617328577
"211","Manukau East",2017,"Labour Party",0.637,0.639068508235139,0.55596536108025,0.683512028369172
"212","Manukau East",2017,"Mana",0.0104,0.000842313213182759,5e-04,0.0193351848444971
"213","Manukau East",2017,"Maori Party",0.0032,0.00419021162948472,0.00154454080427105,0.0184431351989791
"214","Manukau East",2017,"National Party",0.2029,0.212496610814353,0.139168318237517,0.281809969743482
"215","Manukau East",2017,"New Zealand First Party",0.078,0.0529735766025224,0.0142166902764954,0.149742757662455
"216","Manukau East",2017,"United Future",7e-04,0.00112946185295251,5e-04,0.0569645768260468
"217","Manurewa",2017,"ACT",0.0057,0.00075901228589373,5e-04,0.00503615750129439
"218","Manurewa",2017,"Conservative Party",0.0282,0.00281342265319155,5e-04,0.0853794269429392
"219","Manurewa",2017,"Green Party",0.0397,0.0443170113289386,0.0310273396449266,0.0734737632099288
"220","Manurewa",2017,"Labour Party",0.5303,0.532865449997854,0.44926536108025,0.587738223901138
"221","Manurewa",2017,"Mana",0.0115,0.000931404033807858,5e-04,0.0222236647903002
"222","Manurewa",2017,"Maori Party",0.0069,0.00807649808695114,0.00333041610920946,0.0250732703958667
"223","Manurewa",2017,"National Party",0.2769,0.288392161371133,0.189924629472491,0.367423233844358
"224","Manurewa",2017,"New Zealand First Party",0.0949,0.0644511848664022,0.017296973169736,0.180851206566892
"225","Manurewa",2017,"United Future",9e-04,0.00140927038676632,5e-04,0.0682934053258779
"226","Maungakiekie",2017,"ACT",0.0148,0.00197076874232056,5e-04,0.0130763387752907
"227","Maungakiekie",2017,"Conservative Party",0.0317,0.00316260631582171,5e-04,0.0923604664043988
"228","Maungakiekie",2017,"Green Party",0.0946,0.099395579654654,0.073934164493956,0.128446949586769
"229","Maungakiekie",2017,"Labour Party",0.353,0.355604621430548,0.27196536108025,0.410850872504493
"230","Maungakiekie",2017,"Mana",0.0109,0.000882809040739622,5e-04,0.0222049127032299
"231","Maungakiekie",2017,"Maori Party",0.0054,0.00663751463559436,0.0026064126072074,0.023814333500785
"232","Maungakiekie",2017,"National Party",0.4165,0.428551881374273,0.315986751286374,0.505299164986187
"233","Maungakiekie",2017,"New Zealand First Party",0.0661,0.0448917104285478,0.0120477336830301,0.16749763204761
"234","Maungakiekie",2017,"United Future",0.0023,0.00284438475337397,5e-04,0.0719233475055493
"235","Mt Albert",2017,"ACT",0.0097,0.00129165248652091,5e-04,0.00857030311623782
"236","Mt Albert",2017,"Conservative Party",0.0196,0.00195542851072888,5e-04,0.0747948615851891
"237","Mt Albert",2017,"Green Party",0.2178,0.221572670504544,0.17257983139798,0.244587551689919
"238","Mt Albert",2017,"Labour Party",0.2945,0.296607787212147,0.219922808869168,0.341830110045077
"239","Mt Albert",2017,"Mana",0.0164,0.00132826314386512,5e-04,0.0252339628749807
"240","Mt Albert",2017,"Maori Party",0.0048,0.00584393675726529,0.00231681120640658,0.0203937211120931
"241","Mt Albert",2017,"National Party",0.3908,0.400325290155768,0.290286751286374,0.465479280846296
"242","Mt Albert",2017,"New Zealand First Party",0.0411,0.0279129999790214,0.00749110218415333,0.139503678964504
"243","Mt Albert",2017,"United Future",0.0016,0.00206438161272396,5e-04,0.0630248616532765
"244","Mt Roskill",2017,"ACT",0.018,0.0023968809028223,5e-04,0.0159036552672454
"245","Mt Roskill",2017,"Conservative Party",0.0366,0.00365146344350393,5e-04,0.0940554195180735
"246","Mt Roskill",2017,"Green Party",0.0967,0.101513868940578,0.0755754091603123,0.130223053206058
"247","Mt Roskill",2017,"Labour Party",0.3563,0.358945862039662,0.27526536108025,0.413541397408276
"248","Mt Roskill",2017,"Mana",0.009,0.000728924896023542,5e-04,0.0205316667339128
"249","Mt Roskill",2017,"Maori Party",0.0039,0.00512015415308981,0.00188240910520535,0.0225989473079407
"250","Mt Roskill",2017,"National Party",0.4208,0.433105042860189,0.320286751286374,0.508810917790813
"251","Mt Roskill",2017,"New Zealand First Party",0.0532,0.0361306958365922,0.00969651182960966,0.158162159445443
"252","Mt Roskill",2017,"United Future",0.002,0.00254152542150128,5e-04,0.072227225066679
"253","Napier",2017,"ACT",0.0028,5e-04,5e-04,0.0024739019304604
"254","Napier",2017,"Conservative Party",0.0623,0.0062154691948168,5e-04,0.113755101164633
"255","Napier",2017,"Green Party",0.0877,0.0930785774288881,0.0685415034473566,0.126333395432018
"256","Napier",2017,"Labour Party",0.2596,0.262716112199415,0.193860649176353,0.326667578929934
"257","Napier",2017,"Mana",0.006,5e-04,5e-04,0.019046732302608
"258","Napier",2017,"Maori Party",0.0044,0.00575380816420332,0.0021237436058727,0.0255810133506021
"259","Napier",2017,"National Party",0.4938,0.507394102827875,0.393286751286374,0.591066055952855
"260","Napier",2017,"New Zealand First Party",0.0743,0.0504607274559925,0.0135423088146616,0.182275112268043
"261","Napier",2017,"United Future",0.0017,0.00230023084204012,5e-04,0.0758737656629171
"262","Nelson",2017,"ACT",0.004,0.000532640200627179,5e-04,0.00353414561494343
"263","Nelson",2017,"Conservative Party",0.055,0.00548717184133104,5e-04,0.109788654886294
"264","Nelson",2017,"Green Party",0.1414,0.146663241745028,0.110510474201325,0.178832131531695
"265","Nelson",2017,"Labour Party",0.2471,0.250147337332093,0.184526064759156,0.313442977662051
"266","Nelson",2017,"Mana",0.0083,0.000672230737443933,5e-04,0.0209478886692526
"267","Nelson",2017,"Maori Party",0.0033,0.00467200766511114,0.00159280770440453,0.024064441534897
"268","Nelson",2017,"National Party",0.4443,0.458112822104352,0.343786751286374,0.541422074274921
"269","Nelson",2017,"New Zealand First Party",0.0767,0.052090683659147,0.0139797454385538,0.181922137946896
"270","Nelson",2017,"United Future",0.0025,0.0031129887783046,5e-04,0.0774312966702249
"271","New Lynn",2017,"ACT",0.0162,0.00215719281254007,5e-04,0.0143132897405209
"272","New Lynn",2017,"Conservative Party",0.0368,0.00367141679565422,5e-04,0.0992540604266241
"273","New Lynn",2017,"Green Party",0.1005,0.105610208865032,0.078545280461338,0.136575731323342
"274","New Lynn",2017,"Labour Party",0.3609,0.363744910915809,0.27986536108025,0.423195521499048
"275","New Lynn",2017,"Mana",0.011,0.000890908206250995,5e-04,0.023053975111653
"276","New Lynn",2017,"Maori Party",0.0036,0.00492425181432923,0.00173760840480494,0.0234033771140906
"277","New Lynn",2017,"National Party",0.3923,0.405434309185071,0.291786751286374,0.487700373154323
"278","New Lynn",2017,"New Zealand First Party",0.0718,0.0487628564110398,0.013086645664774,0.177497328246378
"279","New Lynn",2017,"United Future",0.0017,0.00228709447981848,5e-04,0.0749785801427158
"280","New Plymouth",2017,"ACT",0.0046,0.000612536230721255,5e-04,0.00406426745718495
"281","New Plymouth",2017,"Conservative Party",0.032,0.00319253634404715,5e-04,0.0864275065750386
"282","New Plymouth",2017,"Green Party",0.08,0.0843693235722273,0.0625236063373835,0.112510492822087
"283","New Plymouth",2017,"Labour Party",0.2116,0.21413516780352,0.158015845014316,0.269247435573743
"284","New Plymouth",2017,"Mana",0.007,0.000566941585796087,5e-04,0.0177355005841792
"285","New Plymouth",2017,"Maori Party",0.0053,0.00643345980908323,0.00255814570707393,0.0225599138399966
"286","New Plymouth",2017,"National Party",0.5584,0.569127659533356,0.457886751286374,0.640112218663607
"287","New Plymouth",2017,"New Zealand First Party",0.0904,0.0613950169854875,0.0164767794999382,0.173591974895022
"288","New Plymouth",2017,"United Future",0.0018,0.00228758834839857,5e-04,0.0664703947141993
"289","North Shore",2017,"ACT",0.0142,0.00215719281254007,5e-04,0.0143132897405209
"290","North Shore",2017,"Conservative Party",0.0434,0.0042999473883885,5e-04,0.101406425062564
"291","North Shore",2017,"Green Party",0.1069,0.121361347043597,0.0907373836971278,0.153090506490558
