Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election,Mixer
"BOND, Ria ",New Zealand First Party,2014,Invercargill,0.07505856,0.1116,0.015501414,NA,0.015501414,FALSE,NA,NA,FALSE,FALSE,FALSE
"EWEN-STREET, Ian",Green Party,1999,Kaikoura,0.091679915,0.067,0.156412157,0.156412157,0.156412157,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"HEWETT, Graham James",ACT,1999,Kaikoura,0.038467533,0.0659,0.021675315,NA,0.021675315,FALSE,NA,NA,FALSE,FALSE,FALSE
"MEHRTENS, Lindsay",Alliance,1999,Kaikoura,0.063593005,0.0839,0.156412157,NA,0.156412157,FALSE,NA,NA,FALSE,FALSE,FALSE
"McNAMARA, Brian",Labour Party,1999,Kaikoura,0.33442439,0.3509,0.235611564,NA,0.235611564,FALSE,NA,NA,FALSE,FALSE,FALSE
"SCOTT, Lynda",National Party,1999,Kaikoura,0.38074753,0.3302,0.410911787,NA,0.410911787,FALSE,NA,NA,FALSE,FALSE,FALSE
"RIVERS, Chris",New Zealand First Party,1999,Kaikoura,0.040524954,0.0359,0.158102298,NA,0.158102298,FALSE,NA,NA,FALSE,FALSE,FALSE
"EWEN-STREET, Ian",Green Party,2002,Kaikoura,0.072642191,0.069,0.091679915,0.091679915,0.091679915,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"SCOTT, Lynda",National Party,2002,Kaikoura,0.47627273,0.2651,0.38074753,0.38074753,0.38074753,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"MAIN, Philippa ",Jim Anderton's Progressive,2002,Kaikoura,0.011463208,0.0177,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"SMITH-MISCHESKI, Julee",United Future,2002,Kaikoura,0.020225495,0.0577,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"HOWARD, Ted",ACT,2002,Kaikoura,0.01438397,0.0582,0.038467533,NA,0.038467533,FALSE,NA,NA,FALSE,FALSE,FALSE
"BURNS, Brendon",Labour Party,2002,Kaikoura,0.379887566,0.3925,0.33442439,NA,0.33442439,FALSE,NA,NA,FALSE,FALSE,FALSE
"BURNS, Brendon",Labour Party,2005,Kaikoura,0.383749488,0.3604,0.379887566,0.379887566,0.379887566,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"COWAN, Brett ",Maori Party,2005,Kaikoura,0.00511666,0.0038,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"KLEIS, Greg ",Alliance,2005,Kaikoura,0.001841998,0.0012,0.063593005,NA,0.063593005,FALSE,NA,NA,FALSE,FALSE,FALSE
"BROWNING, Steffan ",Green Party,2005,Kaikoura,0.056590258,0.0577,0.072642191,NA,0.072642191,FALSE,NA,NA,FALSE,FALSE,FALSE
"MAURICE, John ",Jim Anderton's Progressive,2005,Kaikoura,0.012586983,0.0161,0.011463208,NA,0.011463208,FALSE,NA,NA,FALSE,FALSE,FALSE
"KING, Colin ",National Party,2005,Kaikoura,0.520978305,0.4502,0.47627273,NA,0.47627273,FALSE,NA,NA,FALSE,FALSE,FALSE
"WESTLEY, Robin ",United Future,2005,Kaikoura,0.014121981,0.0282,0.020225495,NA,0.020225495,FALSE,NA,NA,FALSE,FALSE,FALSE
