"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"145","KING, Matt","National Party",2017,"Northland",0.527477059,0.485477935594787,0.450788688799558,0.52321629668774,1
"146","KEARNEY, Nick","ACT",2017,"North Shore",0.015264829,0.00232791088764467,0.00042112252518532,0.00788925446615387,0
"147","GRAHAM, Kennedy","Green Party",2017,"North Shore",0.09896527,0.0998885756315302,0.0905810733788708,0.109853102748563,0
"148","UDANGA, Romy","Labour Party",2017,"North Shore",0.193320357,0.213489639042358,0.185480240498866,0.240617546393068,0
"149","BARRY, Maggie","National Party",2017,"North Shore",0.631492675,0.662030640547472,0.625372473167772,0.695288320366112,1
"150","MOORE, Andi","ACT",2017,"Ohariu",0.005696846,0.00668913629376429,0.00278799082291351,0.0160548580428903,0
"151","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ohariu",0.075076297,0.0836775501757373,0.0619536487190624,0.112857493976997,0
"152","O'CONNOR, Greg","Labour Party",2017,"Ohariu",0.349338759,0.341701513419157,0.290038124257634,0.405143130083598,0.51
"153","HUDSON, Brett","National Party",2017,"Ohariu",0.166225839,0.179020975631509,0.151684517633591,0.210004487202412,0
"154","DUNNE, Peter","United Future",2017,"Ohariu",0.368565615,0.342649652269323,0.286454271702028,0.398035503931543,0.49
"155","FERGUSON, Sam","Green Party",2017,"Otaki",0.065010733,0.0816780160839861,0.0738605352558682,0.0905627826189883,0
"156","McCANN, Rob","Labour Party",2017,"Otaki",0.348461617,0.332593529130617,0.302746647791007,0.361699470129856,0
"157","GUY, Nathan","National Party",2017,"Otaki",0.554022284,0.560973906407593,0.52102320013195,0.597523062661591,1
"158","MAXWELL, James","United Future",2017,"Otaki",0.002355833,0.00231071456665675,0.000180618464607444,0.0142366589059371,0
"159","HUNT, Guy","Green Party",2017,"Pakuranga",NA,0.0601431257937722,0.0468545081366889,0.080907478716492,0
"160","KIRKER, Barry","Labour Party",2017,"Pakuranga",0.225124378,0.241959010240158,0.207678271662254,0.272021635787877,0
"161","BROWN, Simeon","National Party",2017,"Pakuranga",0.610385572,0.5706022897851,0.536719756510091,0.604774766289199,1
"162","NASH, Thomas","Green Party",2017,"Palmerston North",NA,0.083340335073252,0.0686850240660828,0.102273558618973,0
"163","LEES-GALLOWAY, Iain","Labour Party",2017,"Palmerston North",0.500816827,0.474298019476274,0.437915486095995,0.508093268041345,0.9366
"164","PIERCE, Adrienne","National Party",2017,"Palmerston North",0.435164386,0.423436843049472,0.38814230922251,0.455245711076305,0.0634
"165","BALL, Darroch","New Zealand First Party",2017,"Palmerston North",0.037470241,0.0497853009783153,0.0178560560884197,0.123406698420158,0
"166","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Papakura",0.053696173,0.0617096976240444,0.0529236701574755,0.0720772196322897,0
"167","PABLA, Jesse","Labour Party",2017,"Papakura",0.313940152,0.326228443376069,0.297743062400693,0.354175993487728,0
"168","COLLINS, Judith","National Party",2017,"Papakura",0.467521635,0.538997160833449,0.502653349992277,0.572526852442573,1
"169","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Papakura",0.038338328,0.0649892695157905,0.0229806112884645,0.140707052766084,0
"170","SAGE, Eugenie","Green Party",2017,"Port Hills",0.07818888,0.108902561876026,0.0991477038679788,0.11975359339139,0
"171","DYSON, Ruth","Labour Party",2017,"Port Hills",0.464431725,0.407944381705524,0.374552705199498,0.44051137747436,0.2246
"172","KORAKO, Nuk","National Party",2017,"Port Hills",0.407399836,0.431728008572559,0.399222392853403,0.457415802362652,0.7752
"173","O'ROURKE, Denis","New Zealand First Party",2017,"Port Hills",0.101240747,0.0520567070736076,0.0185506859123884,0.140827983643558,2e-04
"174","CORBETT, Tom","ACT",2017,"Rangitata",0.013406776,0.000834538121498228,0.000162231338612708,0.00361188225871243,0
"175","MATHERS, Mojo","Green Party",2017,"Rangitata",0.10132976,0.0882510154727799,0.0786407088699824,0.0989303029175754,0
"176","LUXTON, Jo","Labour Party",2017,"Rangitata",0.269070879,0.287554487111609,0.260920262213531,0.313730686860157,0
"177","FALLOON, Andrew","National Party",2017,"Rangitata",0.672417377,0.566447569257365,0.530975184003912,0.598027408783269,1
"178","WILSON, Neil","ACT",2017,"Rangitikei",0.00522541,0.000473862655815844,9.89743866403685e-05,0.00231784026455865,0
"179","McCANDLESS, Robin","Green Party",2017,"Rangitikei",NA,0.0702589596185113,0.0562706599800122,0.0912990103217468,0
"180","WARREN, Heather","Labour Party",2017,"Rangitikei",0.277663934,0.275239096285159,0.241159977097842,0.308213598247262,0
"181","McKELVIE, Ian","National Party",2017,"Rangitikei",0.603483607,0.606041014264894,0.565913430004023,0.646857080956134,0.9998
"182","STEVENSON, Rob","New Zealand First Party",2017,"Rangitikei",0.069262295,0.0847787147341332,0.0307895650263213,0.191151868282011,2e-04
"183","O'SULLIVAN, Grae","ACT",2017,"Rimutaka",NA,0.00145820197337503,0.000595735941623531,0.00570124168591238,0
"184","GRAND-MEYER, Stefan","Green Party",2017,"Rimutaka",0.04741952,0.070085388083523,0.0628875628117262,0.0784800276917757,0
"185","HIPKINS, Chris","Labour Party",2017,"Rimutaka",0.529892693,0.496203850556568,0.460480488871589,0.529700733759112,0.9996
"186","O'FALLON, Carolyn","National Party",2017,"Rimutaka",0.346857435,0.381169207495073,0.348443630101843,0.410786704327302,4e-04
"187","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Rimutaka",0.072638194,0.0772334722411397,0.0279109240342621,0.171662684059446,0
"188","HOULBROOKE, Beth","ACT",2017,"Rodney",0.006320082,0.000653228332254482,0.000118465798751227,0.00302000153620741,0
"189","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Rodney",0.089296636,0.089058570557852,0.079208267609357,0.100747004524407,0
"190","LUBECK, Marja","Labour Party",2017,"Rodney",0.110907238,0.16929896048333,0.14044680660815,0.195786680401383,0
"191","MITCHELL, Mark","National Party",2017,"Rodney",0.634148828,0.660208093698665,0.62283777712029,0.698238797804618,1
"192","MARTIN, Tracey","New Zealand First Party",2017,"Rodney",0.102140673,0.076076869696763,0.0268873763987953,0.196734078188821,0
