"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"177","FALLOON, Andrew","National Party",2017,"Rangitata",0.672417377,0.560684760351594,0.548700969914256,0.572901278480698,1
"178","WILSON, Neil","ACT",2017,"Rangitikei",0.00522541,0.000549604891810867,0.000146547830021669,0.00175178979614824,0
"179","McCANDLESS, Robin","Green Party",2017,"Rangitikei",NA,0.0427421128990114,0.0376529506267088,0.0481123805990289,0
"180","WARREN, Heather","Labour Party",2017,"Rangitikei",0.277663934,0.296058557521409,0.286377355607358,0.305563740169939,0
"181","McKELVIE, Ian","National Party",2017,"Rangitikei",0.603483607,0.599933610299676,0.58952919992594,0.610713569032375,1
"182","STEVENSON, Rob","New Zealand First Party",2017,"Rangitikei",0.069262295,0.142689305229938,0.116380080948606,0.172083338974391,0
"183","O'SULLIVAN, Grae","ACT",2017,"Rimutaka",NA,0.00174716660594076,0.000770040783477706,0.00338426125210498,0
"184","GRAND-MEYER, Stefan","Green Party",2017,"Rimutaka",0.04741952,0.0562144444103019,0.050624688772879,0.061886688672974,0
"185","HIPKINS, Chris","Labour Party",2017,"Rimutaka",0.529892693,0.518712113999428,0.508340741222,0.529147582155469,1
"186","O'FALLON, Carolyn","National Party",2017,"Rimutaka",0.346857435,0.375884025347544,0.367183470899202,0.384653081886893,0
"187","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Rimutaka",0.072638194,0.12907952235474,0.105876273233374,0.155363514576407,0
"188","HOULBROOKE, Beth","ACT",2017,"Rodney",0.006320082,0.000740967258239128,0.000206728365074914,0.00219220148757821,0
"189","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Rodney",0.089296636,0.071013774185984,0.064123024563553,0.0780820507630481,0
"190","LUBECK, Marja","Labour Party",2017,"Rodney",0.110907238,0.188432090498423,0.179366581398975,0.197594380491039,0
"191","MITCHELL, Mark","National Party",2017,"Rodney",0.634148828,0.654278526955508,0.643521133500884,0.665805600397344,1
"192","MARTIN, Tracey","New Zealand First Party",2017,"Rodney",0.102140673,0.140846996296022,0.109722855768224,0.175620764183449,0
"193","SOLE, Chris","ACT",2017,"Rongotai",NA,0.00161143517254979,0.000732522773980303,0.00310961714910189,0
"194","CROSSEN, Teall","Green Party",2017,"Rongotai",0.207744315,0.161131892517056,0.147728983814652,0.176506523967577,0
"195","EAGLE, Paul","Labour Party",2017,"Rongotai",0.498258554,0.442871640660731,0.431402473184512,0.45458887484828,1
"196","FINLAYSON, Christopher","National Party",2017,"Rongotai",0.243904938,0.290206183065643,0.281454623145083,0.29924863104467,0
"197","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Rongotai",0.020999795,0.0536877154858911,0.0378186513510164,0.0724447855787908,0
"198","EUSOFF, Sultan","United Future",2017,"Rongotai",0.002560951,0.00140988258717086,0.000307012929040911,0.00433490686422468,0
"199","GILLIES, Richard","Green Party",2017,"Rotorua",NA,0.0376395832063882,0.0330993993820672,0.0425300184119595,0
"200","SANDFORD, Ben","Labour Party",2017,"Rotorua",0.340098401,0.326411393724511,0.317350569769148,0.335359813535472,0
"201","McCLAY, Todd","National Party",2017,"Rotorua",0.563345633,0.575619843938892,0.565369933018114,0.586336173955716,1
"202","TABUTEAU, Fletcher","New Zealand First Party",2017,"Rotorua",0.064921787,0.14223203538208,0.119967319346534,0.16777440266935,0
"203","DAVIDSON, Brian","ACT",2017,"Selwyn",0.002348616,0.000428885305644331,0.000112585546425101,0.00131759094781023,0
"204","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Selwyn",0.115490657,0.0864154965568834,0.0787949327590151,0.093560315706342,0
"205","CONDON, Tony","Labour Party",2017,"Selwyn",0.108955376,0.183094188887405,0.174883463913097,0.191632739644968,0
"206","ADAMS, Amy","National Party",2017,"Selwyn",0.699683447,0.692579128298158,0.680878934764894,0.704115455353522,1
"207","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Selwyn",0.015210689,0.052374527406375,0.0400649047441158,0.066211393794999,0
"208","MILNE, Mike","ACT",2017,"Tamaki",0.013257965,0.0024885412999844,0.000793435136030683,0.00604588099159368,0
"209","LECKINGER, Richard","Green Party",2017,"Tamaki",0.103802672,0.0762461486114487,0.0688026230936073,0.0837016924172117,0
"210","McDONALD, Sam","Labour Party",2017,"Tamaki",0.143165468,0.21011773438575,0.201614453638035,0.21865327529938,0
"211","O'CONNOR, Simon","National Party",2017,"Tamaki",0.714285714,0.709623354013556,0.697943994064152,0.721742548780755,1
"212","MOORE, Robert","Green Party",2017,"Taranaki-King Country",0.094386181,0.0677459106407258,0.060120813155784,0.0755339750285443,0
"213","HUMPHREY, Hilary","Labour Party",2017,"Taranaki-King Country",0.169545548,0.220527204970309,0.211283532104359,0.229487340009615,0
"214","KURIGER, Barbara","National Party",2017,"Taranaki-King Country",0.681677977,0.593812350151602,0.58178310534141,0.606480621291456,1
"215","SANDILANDS, Julie","Green Party",2017,"Taupo",0.054391167,0.0519152876520399,0.0456191950357666,0.0584396492729541,0
"216","AL-BUSTANJI, Ala'","Labour Party",2017,"Taupo",0.208158675,0.260536622367517,0.252375998712666,0.268854763470947,0
"217","UPSTON, Louise","National Party",2017,"Taupo",0.631121562,0.630485349419682,0.619728859146291,0.641211931901754,1
