"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"238","Mt Albert",2017,"Labour Party",0.2945,0.278317825942466,0.258442842347567,0.297380736153593
"239","Mt Albert",2017,"Mana",0.0164,0.00103350545965691,0.000426444192666391,0.00358726863160598
"240","Mt Albert",2017,"Maori Party",0.0048,0.00443908511458665,0.00333087780172006,0.00697341989227618
"241","Mt Albert",2017,"National Party",0.3908,0.371333286619023,0.355041999264912,0.387083643763457
"242","Mt Albert",2017,"New Zealand First Party",0.0411,0.090212130659793,0.0710595732122092,0.113107360140704
"243","Mt Albert",2017,"United Future",0.0016,0.00234008352305411,0.00081186181492219,0.00569288743861333
"244","Mt Roskill",2017,"ACT",0.018,0.0114961898993063,0.00554463079016073,0.0187718274928477
"245","Mt Roskill",2017,"Conservative Party",0.0366,0.000517237535047801,0.000246414102298656,0.00124622134493133
"246","Mt Roskill",2017,"Green Party",0.0967,0.117683482550737,0.107135039626183,0.12922972328701
"247","Mt Roskill",2017,"Labour Party",0.3563,0.338716652976533,0.317120745504996,0.359772785540685
"248","Mt Roskill",2017,"Mana",0.009,0.000567167630299526,0.00023402425207302,0.00196862302953986
"249","Mt Roskill",2017,"Maori Party",0.0039,0.00360675665560166,0.00270633821389755,0.00650402686954444
"250","Mt Roskill",2017,"National Party",0.4208,0.401333286619023,0.385041999264912,0.417083643763457
"251","Mt Roskill",2017,"New Zealand First Party",0.0532,0.111971534562899,0.0897180540065519,0.137407086481743
"252","Mt Roskill",2017,"United Future",0.002,0.00288537502379161,0.00101482726865274,0.00688030700054461
"253","Napier",2017,"ACT",0.0028,0.00178829620655876,0.000862498122913891,0.00373865354876648
"254","Napier",2017,"Conservative Party",0.0623,0.000880434383428365,0.000419442583967387,0.00212130026746506
"255","Napier",2017,"Green Party",0.0877,0.112159260260533,0.100029735667661,0.124704319752658
"256","Napier",2017,"Labour Party",0.2596,0.245335509727212,0.227815829790928,0.263923753677457
"257","Napier",2017,"Mana",0.006,0.000378111753533018,0.00015601616804868,0.00131241535302658
"258","Napier",2017,"Maori Party",0.0044,0.00406916135503777,0.00305330465157672,0.00739112235009202
"259","Napier",2017,"National Party",0.4938,0.474333286619023,0.458041999264912,0.490083643763457
"260","Napier",2017,"New Zealand First Party",0.0743,0.142737469897341,0.118037459694115,0.168542897592686
"261","Napier",2017,"United Future",0.0017,0.00273036197686752,0.000862603178354827,0.00734075041711096
